I,J,K,E_CRA,V_CRA,E_RCA,V_RCA,q (0.05),p = 0.05,q (0.01),p = 0.01,Simulations
2,2,1,4,0,4,0,-,-,-,-,100
2,2,2,7.94095,13.96112,7.945405,14.01178,2.424503,0,2.424503,0,100
2,2,3,15.514787,26.57477,15.521916,26.62152,2.335714,0.04877,4.485762,0.00875,100
2,2,4,25.797242,43.11145,25.803246,43.39677,2.48674,0.04883,4.085904,0.00759,100
2,2,5,38.764491,64.67114,38.7698,64.81554,2.202919,0.04835,4.11294,0.00869,100
2,2,6,54.366604,87.89261,54.363806,87.78727,2.421879,0.04938,4.357884,0.00963,100
2,2,7,72.73503,116.6879,72.74671,117.4759,2.274635,0.04948,4.292362,0.00986,100
2,2,8,93.65242,149.6884,93.65639,149.6808,2.29118,0.04963,4.237742,0.00983,100
2,2,9,117.34382,184.8968,117.35354,184.9939,2.363468,0.04971,4.308215,0.00979,100
2,2,10,143.63848,225.6644,143.64346,226.2197,2.309519,0.04974,4.268217,0.00991,100
2,3,1,16,0,2.6666667,0,-,-,-,-,100
2,3,2,24.54479,108.536474,7.413757,3.896763,2.15444,0.03949,3.211263,0.00327,100
2,3,3,44.49698,211.522515,14.944818,8.695909,2.367374,0.04561,3.64835,0.00997,100
2,3,4,70.570396,342.43401,25.1229,14.97215,2.42123,0.04986,3.780212,0.00999,100
2,3,5,103.001177,497.04843,38.004795,22.81248,2.414885,0.04999,3.92398,0.00993,100
2,3,6,141.716193,694.76729,53.536764,32.19691,2.36618,0.04999,3.926179,0.00992,100
2,3,7,186.556589,914.94546,71.765141,43.16353,2.323493,0.05,3.93728,0.00999,100
2,3,8,237.670367,1175.77537,92.624619,55.82685,2.336635,0.04981,3.914808,0.01,100
2,3,9,294.873078,1483.53456,116.152027,69.9539,2.338054,0.05,3.94933,0.01,100
2,3,10,358.499351,1825.95703,142.395156,86.04665,2.316143,0.04997,3.936248,0.00999,100
2,4,1,36,0,2.43254,0.1012702,-,-,-,-,100
2,4,2,52.04068,435.607811,7.207283,2.017738,2.142049,0.04269,3.13938,0.00759,100
