I,J,K,E_CRM,V_CRM,E_RCM,V_RCM,q (0.05),p = 0.05,q (0.01),p = 0.01,Simulations
2,2,1,4,0,4,0,-,-,-,-,100
2,2,2,7.926015,16.56967,7.92463,16.58321,2.22916,0,2.22916,0,100
2,2,3,15.353133,26.80999,15.358564,26.79161,2.44229,0.04783,4.503059,0,100
2,2,4,25.546537,42.86682,25.532058,42.59649,2.178462,0.04611,4.151159,0.00702,100
2,2,5,38.406059,63.5973,38.401189,63.42351,2.2701,0.04559,4.192454,0.00966,100
2,2,6,53.902457,86.36135,53.897091,86.44102,2.234374,0.049,4.06967,0.00939,100
2,2,7,72.15726,114.7773,72.17198,115.5875,2.324559,0.04966,4.13042,0.00985,100
2,2,8,92.98609,146.8433,92.98717,147.5515,2.321574,0.04978,4.271694,0.00998,100
2,2,9,116.57612,183.145,116.56853,182.3886,2.28916,0.04974,4.161113,0.00989,100
2,2,10,142.76199,223.65,142.79207,225.1481,2.233245,0.04965,4.163043,0.00997,100
2,3,1,16,0,2.32312,0.3518903,-,-,-,-,100
2,3,2,24.270935,129.906011,7.335997,4.240925,2.10294,0.04973,2.959306,0.00533,100
2,3,3,43.676861,208.784994,14.647932,8.744799,2.461143,0.04658,3.62114,0.00991,100
2,3,4,69.290638,334.8209,24.897407,15.12578,2.340488,0.04981,3.818945,0.0097,100
2,3,5,101.288594,488.48481,37.591439,22.86293,2.354183,0.04998,3.861777,0.01,100
2,3,6,139.575526,676.51115,53.178361,32.5113,2.342365,0.04997,3.866078,0.00992,100
2,3,7,184.062427,902.28999,71.202503,43.10324,2.343015,0.05,3.914724,0.01,100
2,3,8,234.670302,1147.69804,92.106602,56.33822,2.312133,0.04998,3.927154,0.01,100
2,3,9,291.535552,1453.47201,115.457924,70.60564,2.321062,0.04999,3.927575,0.01,100
2,3,10,354.764354,1783.80575,141.737299,86.27732,2.313229,0.05,3.883923,0.00999,100
2,4,1,36,0,2.4329867,0.1011813,-,-,-,-,100
2,4,2,51.505245,527.701192,7.127166,2.172584,2.118658,0.0491,3.079782,0.00635,100
